column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),1.266028e-02,1.643926e-04,2.932147e-02,7.200000e-02,1.968000e-01,0,14.0919,0.2123,31.1959,0,0.0000,0.0000,0.0000
1,Phase(1),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,Phase(2),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
3,Phase(3),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
4,H(1),8.491535e-03,1.616266e-04,2.098674e-02,1.180000e-01,2.360000e-01,0,9.4517,0.1727,21.8472,0,0.0000,0.0000,0.0000
5,Phase(2),-4.237351e-16,-4.394633e-16,-4.052314e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
6,Phase(3),4.255855e-16,4.070818e-16,4.403885e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
7,H(2),1.889893e-02,4.324158e-03,3.555534e-02,3.200000e-02,1.920000e-01,0,21.0359,6.5248,38.9218,0,0.0000,0.0000,0.0000
8,Phase(3),-1.017704e-17,-2.127927e-17,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
9,H(3),8.484294e-03,1.560885e-04,2.097505e-02,8.200000e-02,1.968000e-01,0,9.4437,0.1536,23.3568,0,0.0000,0.0000,0.0000
10,"SWAP(0,3)",2.171257e-02,5.082163e-03,4.247593e-02,2.800000e-02,1.920000e-01,0,24.1677,8.3862,43.8284,0,0.0000,0.0000,0.0000
11,"SWAP(1,2)",1.959353e-02,5.046382e-03,3.837845e-02,5.000000e-02,1.968000e-01,0,21.8091,5.3444,40.5323,0,0.0000,0.0000,0.0000
