column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.181840e-16,3.959795e-16,4.329870e-16,1.000000e-03,1.200000e-02,1,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,Phase(1),6.666667e-02,2.500000e-02,1.166667e-01,6.000000e-03,3.600000e-02,1,21.0526,9.0859,34.2124,0,0.0000,0.0000,0.0000
2,Phase(2),5.833333e-02,1.666667e-02,1.000000e-01,2.000000e-02,4.800000e-02,1,18.4211,6.0606,31.8263,0,0.0000,0.0000,0.0000
3,Phase(3),4.166667e-02,8.333333e-03,8.333333e-02,5.800000e-02,9.333333e-02,0,13.1579,2.9412,25.0145,0,0.0000,0.0000,0.0000
4,H(1),2.220446e-17,7.401487e-18,4.070818e-17,4.800000e-02,9.333333e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
5,Phase(2),6.666667e-02,2.500000e-02,1.085417e-01,1.600000e-02,4.800000e-02,1,21.0526,9.0859,34.2105,0,0.0000,0.0000,0.0000
6,Phase(3),6.666667e-02,2.500000e-02,1.166667e-01,1.000000e-02,4.000000e-02,1,21.0526,9.3023,34.4828,0,0.0000,0.0000,0.0000
7,H(2),-9.251859e-18,-1.850372e-17,-1.850372e-18,7.000000e-02,9.333333e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
8,Phase(3),1.666667e-02,-1.666667e-02,5.000000e-02,4.240000e-01,5.088000e-01,0,5.2632,0.0000,15.9146,0,0.0083,0.0000,0.0250
9,H(3),1.110223e-17,3.700743e-18,2.220446e-17,6.600000e-02,9.333333e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
10,"SWAP(0,3)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
11,"SWAP(1,2)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
