column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),2.500000e-02,4.440892e-16,5.833333e-02,7.400000e-02,1.268571e-01,0,6.2500,0.0000,13.7255,0,0.0000,0.0000,0.0000
1,Phase(1),5.000000e-02,1.666667e-02,9.166667e-02,3.000000e-02,8.400000e-02,0,12.5000,4.1667,21.7391,0,0.0000,0.0000,0.0000
2,Phase(2),2.500000e-02,0.000000e+00,5.000000e-02,1.520000e-01,1.872000e-01,0,6.2500,0.0000,13.7296,0,0.0000,0.0000,0.0000
3,Phase(3),4.166667e-02,8.333333e-03,7.500000e-02,4.200000e-02,8.400000e-02,0,10.4167,2.2222,20.0102,0,0.0000,0.0000,0.0000
4,H(1),4.166667e-02,8.333333e-03,7.500000e-02,3.400000e-02,8.400000e-02,0,10.4167,2.1728,20.0000,0,0.0000,0.0000,0.0000
5,Phase(2),2.500000e-02,0.000000e+00,5.833333e-02,1.560000e-01,1.872000e-01,0,6.2500,0.0000,13.5205,0,0.0000,0.0000,0.0000
6,Phase(3),3.333333e-02,8.333333e-03,6.666667e-02,8.600000e-02,1.290000e-01,0,8.3333,1.9222,16.9811,0,0.0000,0.0000,0.0000
7,H(2),8.333333e-03,1.554312e-16,2.500000e-02,1.780000e-01,1.941818e-01,0,2.0833,0.0000,7.1429,0,0.0000,0.0000,0.0000
8,Phase(3),3.333333e-02,8.333333e-03,6.666667e-02,4.000000e-02,8.400000e-02,0,8.3333,1.8494,16.2791,0,0.0000,0.0000,0.0000
9,H(3),1.666667e-02,-8.333333e-03,5.000000e-02,4.300000e-01,4.300000e-01,0,4.1667,0.0000,12.7282,0,0.0083,0.0000,0.0250
10,"SWAP(0,3)",5.000000e-02,1.666667e-02,9.166667e-02,2.600000e-02,8.400000e-02,0,12.5000,4.1667,22.4147,0,0.0000,0.0000,0.0000
11,"SWAP(1,2)",5.000000e-02,1.666667e-02,9.166667e-02,3.600000e-02,8.400000e-02,0,12.5000,3.8443,22.5000,0,0.0000,0.0000,0.0000
