column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),2.500000e-02,4.440892e-16,5.833333e-02,6.000000e-02,1.028571e-01,0,7.8947,0.0000,17.6471,0,0.0000,0.0000,0.0000
1,Phase(1),-1.480297e-17,-2.960595e-17,-3.700743e-18,9.000000e-02,1.200000e-01,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,Phase(2),-2.590520e-17,-4.440892e-17,-1.110223e-17,2.200000e-02,7.800000e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
3,Phase(3),-2.220446e-17,-4.070818e-17,-7.401487e-18,3.600000e-02,8.640000e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
4,H(1),4.166667e-02,8.333333e-03,8.333333e-02,2.400000e-02,7.800000e-02,0,13.1579,2.9391,25.0000,0,0.0000,0.0000,0.0000
5,Phase(2),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
6,Phase(3),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
7,H(2),5.000000e-02,1.666667e-02,9.166667e-02,2.600000e-02,7.800000e-02,0,15.7895,4.9970,28.1250,0,0.0000,0.0000,0.0000
8,Phase(3),-9.251859e-18,-1.665335e-17,-1.850372e-18,4.800000e-02,9.600000e-02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
9,H(3),3.333333e-02,8.333333e-03,6.666667e-02,8.200000e-02,1.200000e-01,0,10.5263,2.4376,21.2916,0,0.0000,0.0000,0.0000
10,"SWAP(0,3)",1.333333e-01,7.500000e-02,2.000000e-01,2.000000e-03,2.400000e-02,1,42.1053,26.0829,59.0000,0,0.0000,0.0000,0.0000
11,"SWAP(1,2)",3.333333e-02,0.000000e+00,7.500000e-02,1.420000e-01,1.704000e-01,0,10.5263,0.0000,23.6982,0,0.0083,0.0000,0.0250
