column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.237351e-16,4.144833e-16,4.311366e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,Phase(1),5.416667e-02,3.536458e-02,7.708333e-02,1.000000e-03,3.000000e-03,1,20.8000,13.8872,27.9101,0,0.0000,0.0000,0.0000
2,Phase(2),4.166667e-02,2.500000e-02,6.041667e-02,1.000000e-03,3.000000e-03,1,16.0000,10.0701,22.6580,0,0.0000,0.0000,0.0000
3,Phase(3),2.083333e-02,1.041667e-02,3.338542e-02,2.000000e-03,4.800000e-03,1,8.0000,3.3884,13.3333,0,0.0000,0.0000,0.0000
4,H(1),1.757853e-17,1.017704e-17,2.500315e-17,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
5,Phase(2),5.833333e-02,3.958333e-02,7.916667e-02,1.000000e-03,3.000000e-03,1,22.4000,14.8513,29.7885,0,0.0000,0.0000,0.0000
6,Phase(3),5.000000e-02,3.125000e-02,7.083333e-02,1.000000e-03,3.000000e-03,1,19.2000,12.5000,26.4488,0,0.0000,0.0000,0.0000
7,H(2),1.632953e-16,1.544945e-16,1.716220e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
8,Phase(3),3.541667e-02,1.661458e-02,5.625000e-02,4.000000e-03,8.000000e-03,1,13.6000,6.6653,20.6655,0,0.0083,0.0021,0.0167
9,H(3),1.063964e-17,6.476301e-18,1.480297e-17,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
10,"SWAP(0,3)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
11,"SWAP(1,2)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
