strength,injected_column,gate,seed,hit,top1,exact,false_discoveries
0.05,0,H,411000,0,1,0,0
0.05,0,H,411001,0,1,0,0
0.05,0,H,411002,0,1,0,0
0.05,0,H,411003,0,1,0,0
0.05,0,H,411004,0,1,0,0
0.05,0,H,411005,0,1,0,0
0.05,0,H,411006,0,1,0,0
0.05,0,H,411007,0,1,0,0
0.05,0,H,411008,0,0,0,0
0.05,0,H,411009,0,1,0,0
0.05,0,H,411010,0,1,0,0
0.05,0,H,411011,0,1,0,0
0.05,0,H,411012,0,1,0,0
0.05,0,H,411013,0,1,0,0
0.05,0,H,411014,0,1,0,0
0.05,0,H,411015,0,1,0,0
0.05,0,H,411016,0,1,0,0
0.05,0,H,411017,0,1,0,0
0.05,0,H,411018,1,1,1,0
0.05,0,H,411019,0,1,0,0
0.05,1,CNOT,412000,1,1,1,0
0.05,1,CNOT,412001,1,1,1,0
0.05,1,CNOT,412002,0,1,0,0
0.05,1,CNOT,412003,1,1,1,0
0.05,1,CNOT,412004,1,1,1,0
0.05,1,CNOT,412005,1,1,1,0
0.05,1,CNOT,412006,1,1,1,0
0.05,1,CNOT,412007,1,1,1,0
0.05,1,CNOT,412008,1,1,1,0
0.05,1,CNOT,412009,1,1,1,0
0.05,1,CNOT,412010,1,1,1,0
0.05,1,CNOT,412011,1,1,1,0
0.05,1,CNOT,412012,0,1,0,0
0.05,1,CNOT,412013,1,1,1,0
0.05,1,CNOT,412014,1,1,1,0
0.05,1,CNOT,412015,1,1,1,0
0.05,1,CNOT,412016,1,1,1,0
0.05,1,CNOT,412017,1,1,1,0
0.05,1,CNOT,412018,1,1,1,0
0.05,1,CNOT,412019,1,1,1,0
0.05,2,Ry,413000,0,1,0,0
0.05,2,Ry,413001,0,1,0,0
0.05,2,Ry,413002,0,1,0,0
0.05,2,Ry,413003,0,1,0,0
0.05,2,Ry,413004,0,1,0,0
0.05,2,Ry,413005,0,1,0,0
0.05,2,Ry,413006,0,1,0,0
0.05,2,Ry,413007,1,1,1,0
0.05,2,Ry,413008,1,1,1,0
0.05,2,Ry,413009,0,1,0,0
0.05,2,Ry,413010,1,1,1,0
0.05,2,Ry,413011,1,1,1,0
0.05,2,Ry,413012,0,1,0,0
0.05,2,Ry,413013,0,1,0,0
0.05,2,Ry,413014,1,1,1,0
0.05,2,Ry,413015,1,1,1,0
0.05,2,Ry,413016,0,1,0,0
0.05,2,Ry,413017,0,1,0,0
0.05,2,Ry,413018,0,1,0,0
0.05,2,Ry,413019,0,1,0,0
0.05,3,CZ,414000,1,1,1,0
0.05,3,CZ,414001,1,1,1,0
0.05,3,CZ,414002,1,1,1,0
0.05,3,CZ,414003,1,1,1,0
0.05,3,CZ,414004,1,1,1,0
0.05,3,CZ,414005,1,1,1,0
0.05,3,CZ,414006,1,1,1,0
0.05,3,CZ,414007,1,1,1,0
0.05,3,CZ,414008,1,1,1,0
0.05,3,CZ,414009,1,1,1,0
0.05,3,CZ,414010,1,1,1,0
0.05,3,CZ,414011,1,1,1,0
0.05,3,CZ,414012,1,1,1,0
0.05,3,CZ,414013,1,1,1,0
0.05,3,CZ,414014,1,1,1,0
0.05,3,CZ,414015,1,1,1,0
0.05,3,CZ,414016,1,1,1,0
0.05,3,CZ,414017,1,1,1,0
0.05,3,CZ,414018,1,1,1,0
0.05,3,CZ,414019,1,1,1,0
0.05,4,X,415000,0,1,0,0
0.05,4,X,415001,0,1,0,0
0.05,4,X,415002,0,1,0,0
0.05,4,X,415003,0,1,0,0
0.05,4,X,415004,0,1,0,0
0.05,4,X,415005,0,1,0,0
0.05,4,X,415006,0,1,0,0
0.05,4,X,415007,0,1,0,0
0.05,4,X,415008,0,1,0,0
0.05,4,X,415009,0,1,0,0
0.05,4,X,415010,0,1,0,0
0.05,4,X,415011,1,1,1,0
0.05,4,X,415012,0,1,0,0
0.05,4,X,415013,0,1,0,0
0.05,4,X,415014,0,1,0,0
0.05,4,X,415015,0,1,0,0
0.05,4,X,415016,0,1,0,0
0.05,4,X,415017,0,1,0,0
0.05,4,X,415018,0,1,0,0
0.05,4,X,415019,0,1,0,0
0.1,0,H,411000,0,1,0,0
0.1,0,H,411001,0,1,0,0
0.1,0,H,411002,1,1,1,0
0.1,0,H,411003,1,1,1,0
0.1,0,H,411004,1,1,1,0
0.1,0,H,411005,1,1,1,0
0.1,0,H,411006,1,1,1,0
0.1,0,H,411007,1,1,1,0
0.1,0,H,411008,0,1,0,0
0.1,0,H,411009,1,1,1,0
0.1,0,H,411010,0,1,0,0
0.1,0,H,411011,1,1,1,0
0.1,0,H,411012,1,1,1,0
0.1,0,H,411013,0,1,0,0
0.1,0,H,411014,0,1,0,0
0.1,0,H,411015,1,1,1,0
0.1,0,H,411016,1,1,1,0
0.1,0,H,411017,0,1,0,0
0.1,0,H,411018,1,1,1,0
0.1,0,H,411019,1,1,1,0
0.1,1,CNOT,412000,1,1,1,0
0.1,1,CNOT,412001,1,1,1,0
0.1,1,CNOT,412002,1,1,1,0
0.1,1,CNOT,412003,1,1,1,0
0.1,1,CNOT,412004,1,1,1,0
0.1,1,CNOT,412005,1,1,1,0
0.1,1,CNOT,412006,1,1,1,0
0.1,1,CNOT,412007,1,1,1,0
0.1,1,CNOT,412008,1,1,1,0
0.1,1,CNOT,412009,1,1,1,0
0.1,1,CNOT,412010,1,1,1,0
0.1,1,CNOT,412011,1,1,1,0
0.1,1,CNOT,412012,1,1,1,0
0.1,1,CNOT,412013,1,1,1,0
0.1,1,CNOT,412014,1,1,1,0
0.1,1,CNOT,412015,1,1,1,0
0.1,1,CNOT,412016,1,1,1,0
0.1,1,CNOT,412017,1,1,1,0
0.1,1,CNOT,412018,1,1,1,0
0.1,1,CNOT,412019,1,1,1,0
0.1,2,Ry,413000,1,1,1,0
0.1,2,Ry,413001,1,1,1,0
0.1,2,Ry,413002,1,1,1,0
0.1,2,Ry,413003,1,1,1,0
0.1,2,Ry,413004,1,1,1,0
0.1,2,Ry,413005,1,1,1,0
0.1,2,Ry,413006,1,1,1,0
0.1,2,Ry,413007,1,1,1,0
0.1,2,Ry,413008,1,1,1,0
0.1,2,Ry,413009,0,1,0,0
0.1,2,Ry,413010,1,1,1,0
0.1,2,Ry,413011,1,1,1,0
0.1,2,Ry,413012,0,1,0,0
0.1,2,Ry,413013,0,1,0,0
0.1,2,Ry,413014,1,1,1,0
0.1,2,Ry,413015,1,1,1,0
0.1,2,Ry,413016,1,1,1,0
0.1,2,Ry,413017,1,1,1,0
0.1,2,Ry,413018,1,1,1,0
0.1,2,Ry,413019,1,1,1,0
0.1,3,CZ,414000,1,1,1,0
0.1,3,CZ,414001,1,1,1,0
0.1,3,CZ,414002,1,1,1,0
0.1,3,CZ,414003,1,1,1,0
0.1,3,CZ,414004,1,1,1,0
0.1,3,CZ,414005,1,1,1,0
0.1,3,CZ,414006,1,1,1,0
0.1,3,CZ,414007,1,1,1,0
0.1,3,CZ,414008,1,1,1,0
0.1,3,CZ,414009,1,1,1,0
0.1,3,CZ,414010,1,1,1,0
0.1,3,CZ,414011,1,1,1,0
0.1,3,CZ,414012,1,1,1,0
0.1,3,CZ,414013,1,1,1,0
0.1,3,CZ,414014,1,1,1,0
0.1,3,CZ,414015,1,1,1,0
0.1,3,CZ,414016,1,1,1,0
0.1,3,CZ,414017,1,1,1,0
0.1,3,CZ,414018,1,1,1,0
0.1,3,CZ,414019,1,1,1,0
0.1,4,X,415000,1,1,1,0
0.1,4,X,415001,1,1,1,0
0.1,4,X,415002,1,1,1,0
0.1,4,X,415003,1,1,1,0
0.1,4,X,415004,1,1,1,0
0.1,4,X,415005,1,1,1,0
0.1,4,X,415006,1,1,1,0
0.1,4,X,415007,1,1,1,0
0.1,4,X,415008,1,1,1,0
0.1,4,X,415009,1,1,1,0
0.1,4,X,415010,1,1,1,0
0.1,4,X,415011,1,1,1,0
0.1,4,X,415012,1,1,1,0
0.1,4,X,415013,1,1,1,0
0.1,4,X,415014,0,1,0,0
0.1,4,X,415015,1,1,1,0
0.1,4,X,415016,1,1,1,0
0.1,4,X,415017,1,1,1,0
0.1,4,X,415018,1,1,1,0
0.1,4,X,415019,1,1,1,0
0.2,0,H,411000,1,1,1,0
0.2,0,H,411001,1,1,1,0
0.2,0,H,411002,1,1,1,0
0.2,0,H,411003,1,1,1,0
0.2,0,H,411004,1,1,1,0
0.2,0,H,411005,1,1,1,0
0.2,0,H,411006,1,1,1,0
0.2,0,H,411007,1,1,1,0
0.2,0,H,411008,1,1,1,0
0.2,0,H,411009,1,1,1,0
0.2,0,H,411010,1,1,1,0
0.2,0,H,411011,1,1,1,0
0.2,0,H,411012,1,1,1,0
0.2,0,H,411013,1,1,1,0
0.2,0,H,411014,1,1,1,0
0.2,0,H,411015,1,1,1,0
0.2,0,H,411016,1,1,1,0
0.2,0,H,411017,1,1,1,0
0.2,0,H,411018,1,1,1,0
0.2,0,H,411019,1,1,1,0
0.2,1,CNOT,412000,1,1,1,0
0.2,1,CNOT,412001,1,1,1,0
0.2,1,CNOT,412002,1,1,1,0
0.2,1,CNOT,412003,1,1,1,0
0.2,1,CNOT,412004,1,1,1,0
0.2,1,CNOT,412005,1,1,1,0
0.2,1,CNOT,412006,1,1,1,0
0.2,1,CNOT,412007,1,1,1,0
0.2,1,CNOT,412008,1,1,1,0
0.2,1,CNOT,412009,1,1,1,0
0.2,1,CNOT,412010,1,1,1,0
0.2,1,CNOT,412011,1,1,1,0
0.2,1,CNOT,412012,1,1,1,0
0.2,1,CNOT,412013,1,1,1,0
0.2,1,CNOT,412014,1,1,1,0
0.2,1,CNOT,412015,1,1,1,0
0.2,1,CNOT,412016,1,1,1,0
0.2,1,CNOT,412017,1,1,1,0
0.2,1,CNOT,412018,1,1,1,0
0.2,1,CNOT,412019,1,1,1,0
0.2,2,Ry,413000,1,1,1,0
0.2,2,Ry,413001,1,1,1,0
0.2,2,Ry,413002,1,1,1,0
0.2,2,Ry,413003,1,1,1,0
0.2,2,Ry,413004,1,1,1,0
0.2,2,Ry,413005,1,1,1,0
0.2,2,Ry,413006,1,1,1,0
0.2,2,Ry,413007,1,1,1,0
0.2,2,Ry,413008,1,1,1,0
0.2,2,Ry,413009,1,1,1,0
0.2,2,Ry,413010,1,1,1,0
0.2,2,Ry,413011,1,1,1,0
0.2,2,Ry,413012,1,1,1,0
0.2,2,Ry,413013,1,1,1,0
0.2,2,Ry,413014,1,1,1,0
0.2,2,Ry,413015,1,1,1,0
0.2,2,Ry,413016,1,1,1,0
0.2,2,Ry,413017,1,1,1,0
0.2,2,Ry,413018,1,1,1,0
0.2,2,Ry,413019,1,1,1,0
0.2,3,CZ,414000,1,1,1,0
0.2,3,CZ,414001,1,1,1,0
0.2,3,CZ,414002,1,1,1,0
0.2,3,CZ,414003,1,1,1,0
0.2,3,CZ,414004,1,1,1,0
0.2,3,CZ,414005,1,1,1,0
0.2,3,CZ,414006,1,1,1,0
0.2,3,CZ,414007,1,1,1,0
0.2,3,CZ,414008,1,1,1,0
0.2,3,CZ,414009,1,1,1,0
0.2,3,CZ,414010,1,1,1,0
0.2,3,CZ,414011,1,1,1,0
0.2,3,CZ,414012,1,1,1,0
0.2,3,CZ,414013,1,1,1,0
0.2,3,CZ,414014,1,1,1,0
0.2,3,CZ,414015,1,1,1,0
0.2,3,CZ,414016,1,1,1,0
0.2,3,CZ,414017,1,1,1,0
0.2,3,CZ,414018,1,1,1,0
0.2,3,CZ,414019,1,1,1,0
0.2,4,X,415000,1,1,1,0
0.2,4,X,415001,1,1,1,0
0.2,4,X,415002,1,1,1,0
0.2,4,X,415003,1,1,1,0
0.2,4,X,415004,1,1,1,0
0.2,4,X,415005,1,1,1,0
0.2,4,X,415006,1,1,1,0
0.2,4,X,415007,1,1,1,0
0.2,4,X,415008,1,1,1,0
0.2,4,X,415009,1,1,1,0
0.2,4,X,415010,1,1,1,0
0.2,4,X,415011,1,1,1,0
0.2,4,X,415012,1,1,1,0
0.2,4,X,415013,1,1,1,0
0.2,4,X,415014,1,1,1,0
0.2,4,X,415015,1,1,1,0
0.2,4,X,415016,1,1,1,0
0.2,4,X,415017,1,1,1,0
0.2,4,X,415018,1,1,1,0
0.2,4,X,415019,1,1,1,0
