code,noise_type,physical_rate,n_trials,bin,count,fraction
"BitFlip [3,1,1]",depolarizing,0.0100,200,both_pass,200,1.0000
"BitFlip [3,1,1]",depolarizing,0.0100,200,both_fail,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.0100,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.0100,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.0500,200,both_pass,199,0.9950
"BitFlip [3,1,1]",depolarizing,0.0500,200,both_fail,1,0.0050
"BitFlip [3,1,1]",depolarizing,0.0500,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.0500,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.1000,200,both_pass,195,0.9750
"BitFlip [3,1,1]",depolarizing,0.1000,200,both_fail,5,0.0250
"BitFlip [3,1,1]",depolarizing,0.1000,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.1000,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.1500,200,both_pass,196,0.9800
"BitFlip [3,1,1]",depolarizing,0.1500,200,both_fail,4,0.0200
"BitFlip [3,1,1]",depolarizing,0.1500,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.1500,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.2000,200,both_pass,193,0.9650
"BitFlip [3,1,1]",depolarizing,0.2000,200,both_fail,7,0.0350
"BitFlip [3,1,1]",depolarizing,0.2000,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.2000,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.2500,200,both_pass,186,0.9300
"BitFlip [3,1,1]",depolarizing,0.2500,200,both_fail,14,0.0700
"BitFlip [3,1,1]",depolarizing,0.2500,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.2500,200,z_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.3000,200,both_pass,177,0.8850
"BitFlip [3,1,1]",depolarizing,0.3000,200,both_fail,23,0.1150
"BitFlip [3,1,1]",depolarizing,0.3000,200,f_only,0,0.0000
"BitFlip [3,1,1]",depolarizing,0.3000,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0100,200,both_pass,200,1.0000
"PhaseFlip [3,1,1]",depolarizing,0.0100,200,both_fail,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0100,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0100,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0500,200,both_pass,200,1.0000
"PhaseFlip [3,1,1]",depolarizing,0.0500,200,both_fail,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0500,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.0500,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.1000,200,both_pass,197,0.9850
"PhaseFlip [3,1,1]",depolarizing,0.1000,200,both_fail,3,0.0150
"PhaseFlip [3,1,1]",depolarizing,0.1000,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.1000,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.1500,200,both_pass,193,0.9650
"PhaseFlip [3,1,1]",depolarizing,0.1500,200,both_fail,7,0.0350
"PhaseFlip [3,1,1]",depolarizing,0.1500,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.1500,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.2000,200,both_pass,193,0.9650
"PhaseFlip [3,1,1]",depolarizing,0.2000,200,both_fail,7,0.0350
"PhaseFlip [3,1,1]",depolarizing,0.2000,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.2000,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.2500,200,both_pass,185,0.9250
"PhaseFlip [3,1,1]",depolarizing,0.2500,200,both_fail,15,0.0750
"PhaseFlip [3,1,1]",depolarizing,0.2500,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.2500,200,z_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.3000,200,both_pass,176,0.8800
"PhaseFlip [3,1,1]",depolarizing,0.3000,200,both_fail,24,0.1200
"PhaseFlip [3,1,1]",depolarizing,0.3000,200,f_only,0,0.0000
"PhaseFlip [3,1,1]",depolarizing,0.3000,200,z_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.0100,200,both_pass,186,0.9300
"Steane [[7,1,3]]",depolarizing,0.0100,200,both_fail,9,0.0450
"Steane [[7,1,3]]",depolarizing,0.0100,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.0100,200,z_only,5,0.0250
"Steane [[7,1,3]]",depolarizing,0.0500,200,both_pass,142,0.7100
"Steane [[7,1,3]]",depolarizing,0.0500,200,both_fail,38,0.1900
"Steane [[7,1,3]]",depolarizing,0.0500,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.0500,200,z_only,20,0.1000
"Steane [[7,1,3]]",depolarizing,0.1000,200,both_pass,100,0.5000
"Steane [[7,1,3]]",depolarizing,0.1000,200,both_fail,63,0.3150
"Steane [[7,1,3]]",depolarizing,0.1000,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.1000,200,z_only,37,0.1850
"Steane [[7,1,3]]",depolarizing,0.1500,200,both_pass,79,0.3950
"Steane [[7,1,3]]",depolarizing,0.1500,200,both_fail,77,0.3850
