pair,seed,n_significant,dominant_column,dominant_attribution_pct
attr_qaoa_maxcut_depolarizing,977000,8,3,15.991
attr_qaoa_maxcut_depolarizing,977001,7,0,22.6766
attr_qaoa_maxcut_depolarizing,977002,8,1,20.104
attr_qaoa_maxcut_depolarizing,977003,6,1,19.6849
attr_qaoa_maxcut_depolarizing,977004,7,1,18.5558
attr_qaoa_maxcut_depolarizing,977005,7,0,23.062
attr_qaoa_maxcut_depolarizing,977006,6,3,25.9532
attr_qaoa_maxcut_depolarizing,977007,8,1,18.9991
attr_qaoa_maxcut_depolarizing,977008,6,0,23.0722
attr_qaoa_maxcut_depolarizing,977009,7,3,23.6563
attr_qaoa_maxcut_depolarizing,977010,8,0,18.6364
attr_qaoa_maxcut_depolarizing,977011,5,3,23.3307
attr_qaoa_maxcut_depolarizing,977012,7,3,23.5165
attr_qaoa_maxcut_depolarizing,977013,8,0,20.3548
attr_qaoa_maxcut_depolarizing,977014,8,3,23.5355
attr_qaoa_maxcut_depolarizing,977015,8,0,20.281
attr_qaoa_maxcut_depolarizing,977016,6,3,20.9374
attr_qaoa_maxcut_depolarizing,977017,5,1,20.9104
attr_qaoa_maxcut_depolarizing,977018,7,3,20.2986
attr_qaoa_maxcut_depolarizing,977019,6,4,21.264
attr_qaoa_maxcut_depolarizing,977020,7,3,22.2963
attr_qaoa_maxcut_depolarizing,977021,6,1,22.9858
attr_qaoa_maxcut_depolarizing,977022,5,3,26.9893
attr_qaoa_maxcut_depolarizing,977023,7,0,26.0187
attr_qaoa_maxcut_depolarizing,977024,7,0,18.8802
attr_qaoa_maxcut_depolarizing,977025,6,3,23.0103
attr_qaoa_maxcut_depolarizing,977026,8,0,25.7467
attr_qaoa_maxcut_depolarizing,977027,8,3,18.7056
attr_qaoa_maxcut_depolarizing,977028,5,4,22.9577
attr_qaoa_maxcut_depolarizing,977029,8,4,20.9358
attr_qaoa_maxcut_depolarizing,977030,7,0,22.6643
attr_qaoa_maxcut_depolarizing,977031,7,1,16.8823
attr_qaoa_maxcut_depolarizing,977032,6,0,21.6779
attr_qaoa_maxcut_depolarizing,977033,7,1,20.8517
attr_qaoa_maxcut_depolarizing,977034,7,0,24.7653
attr_qaoa_maxcut_depolarizing,977035,7,3,20.1175
attr_qaoa_maxcut_depolarizing,977036,8,3,22.2248
attr_qaoa_maxcut_depolarizing,977037,8,3,22.0632
attr_qaoa_maxcut_depolarizing,977038,8,0,20.9602
attr_qaoa_maxcut_depolarizing,977039,8,3,19.8716
attr_qaoa_maxcut_depolarizing,977040,8,3,23.5708
attr_qaoa_maxcut_depolarizing,977041,5,0,31.1074
attr_qaoa_maxcut_depolarizing,977042,7,4,22.5408
attr_qaoa_maxcut_depolarizing,977043,7,3,23.2537
attr_qaoa_maxcut_depolarizing,977044,8,0,24.3352
attr_qaoa_maxcut_depolarizing,977045,7,0,23.7722
attr_qaoa_maxcut_depolarizing,977046,7,3,20.5245
attr_qaoa_maxcut_depolarizing,977047,5,0,22.1368
attr_qaoa_maxcut_depolarizing,977048,7,3,21.1207
attr_qaoa_maxcut_depolarizing,977049,7,0,19.4458
attr_ghz4_depolarizing,977000,2,2,46.4286
attr_ghz4_depolarizing,977001,2,1,48.5714
